Nitrogen,Phosphorus,Potassium,Humidity,Output
43,1,8,60,0
33,1,11,68,0
19,27,0,33,0
47,22,0,34,0
12,36,14,50,0
25,31,1,20,0
43,32,15,72,0
23,0,7,73,0
27,18,12,73,0
15,1,0,22,0
15,25,15,35,0
28,31,6,42,1
40,5,4,76,0
44,31,2,30,0
28,3,11,31,0
7,10,15,29,0
26,16,18,51,0
6,37,4,35,0
28,23,13,27,1
48,4,4,57,0
34,33,14,31,1
42,5,16,43,0
6,21,13,47,0
25,10,19,72,0
37,15,4,27,0
16,32,11,77,0
26,8,15,47,0
48,5,15,55,0
29,15,6,45,1
31,28,3,27,0
46,2,0,77,0
32,19,4,79,0
20,35,9,69,0
19,18,4,47,0
48,25,3,47,0
7,2,1,56,0
41,18,19,60,0
11,19,9,55,0
25,31,18,46,1
13,6,0,73,0
43,32,4,36,0
22,39,12,28,1
8,38,3,52,0
29,17,15,72,0
18,39,15,39,0
13,0,1,32,0
30,10,16,47,0
6,27,19,67,0
24,24,11,48,1
32,22,17,32,1
11,30,2,65,0
48,29,0,54,0
12,34,0,25,0
39,6,18,37,0
18,15,10,70,0
21,25,4,24,0
40,1,11,66,0
44,0,2,44,0
8,11,0,21,0
6,4,0,29,0
10,36,7,75,0
46,31,9,49,1
8,8,10,69,0
33,34,11,78,0
22,18,12,64,0
30,15,11,24,1
48,2,13,74,0
38,19,1,75,0
14,23,18,52,0
40,32,17,73,0
18,23,2,20,0
35,10,16,37,0
19,7,7,51,0
12,35,9,66,0
18,37,1,68,0
27,39,18,30,1
44,19,8,40,1
25,34,6,45,1
20,24,3,44,0
49,34,17,41,1
22,24,12,78,0
28,28,10,46,1
30,17,3,68,0
29,17,3,32,0
49,1,9,52,0
45,34,4,53,0
33,15,8,60,0
19,35,2,54,0
49,32,16,20,1
5,3,2,40,0
29,32,15,67,0
11,13,3,74,0
13,20,17,25,0
28,19,16,47,1
5,7,6,36,0
48,6,4,24,0
12,2,11,50,0
28,16,16,24,1
15,32,12,57,0
21,11,2,22,0
12,21,8,72,0
39,21,16,42,1
39,29,16,56,0
37,37,19,72,0
9,37,15,56,0
46,7,12,29,0
43,26,18,29,1
45,26,16,38,1
32,33,3,36,0
11,20,11,40,0
13,29,8,33,0
12,32,18,28,0
16,27,11,65,0
38,32,8,20,1
37,4,6,70,0
27,18,13,64,0
28,3,19,32,0
41,34,18,23,1
39,16,14,20,1
48,27,15,68,0
44,29,4,59,0
26,28,2,51,0
31,5,11,53,0
39,34,19,47,1
5,36,3,50,0
39,23,15,27,1
41,28,6,58,0
18,30,12,45,0
7,34,9,77,0
5,32,6,53,0
9,20,13,73,0
30,31,4,73,0
18,22,2,22,0
43,32,10,78,0
31,2,10,69,0
13,17,17,31,0
19,24,14,20,0
19,30,11,73,0
30,2,8,63,0
46,39,9,24,1
17,23,11,49,0
36,31,16,49,1
43,21,5,78,0
36,22,6,76,0
8,1,13,36,0
34,26,12,67,0
41,1,7,66,0
27,25,9,42,1
43,16,8,34,1
49,39,17,56,0
19,32,1,40,0
47,8,4,33,0
33,38,4,21,0
40,28,5,30,0
17,25,18,70,0
36,34,7,58,0
11,24,15,57,0
26,23,12,79,0
32,12,0,53,0
6,6,19,57,0
46,35,16,69,0
49,19,6,53,0
10,0,12,37,0
32,7,3,49,0
32,15,3,34,0
48,13,5,46,0
48,11,18,70,0
24,22,11,53,0
34,14,6,71,0
15,27,9,76,0
32,33,18,57,0
29,1,6,52,0
43,31,2,43,0
37,22,12,34,1
5,21,12,79,0
31,24,17,49,1
17,21,19,74,0
45,21,7,61,0
7,5,8,70,0
43,14,6,36,1
10,36,0,24,0
12,32,2,48,0
31,7,12,23,0
13,4,16,29,0
41,38,0,75,0
37,3,5,36,0
46,5,5,29,0
48,31,11,36,1
28,29,12,79,0
19,34,12,39,0
36,39,14,43,1
36,15,15,24,1
28,12,10,53,0
45,29,4,25,0
16,18,3,72,0
43,16,2,21,0
6,18,18,32,0
7,27,19,62,0
41,25,17,62,0
21,36,14,67,0
